,lat,lon,alt
0,-73.988281,40.71883,0
1,-74.00509,40.728794,0
2,-73.993408,40.729197,0
3,-73.985855,40.726555,0
4,-73.991692,40.691383,0
5,-73.982277,40.731014,0
6,-73.996726,40.737864,0
7,-73.990517,40.736977,0
8,-74.0387,40.726501,0
9,-74.043057,40.719843,0
10,-73.98067,40.688963,0
11,-73.993286,40.741928,0
12,-73.987856,40.740654,0
13,-73.979165,40.736945,0
14,-74.0426,40.729858,0
15,-74.030396,40.739906,0
16,-73.98393,40.743156,0
17,-73.990845,40.745995,0
18,-73.997088,40.747569,0
19,-73.959017,40.70893,0
20,-74.053314,40.717419,0
21,-73.978949,40.744904,0
22,-73.990724,40.750544,0
23,-73.999161,40.673519,0
24,-73.989538,40.750779,0
25,-73.986819,40.750816,0
26,-73.993004,40.75251,0
27,-73.954109,40.730389,0
28,-73.966927,40.681351,0
29,-73.988188,40.754673,0
30,-73.98028,40.753042,0
31,-73.986854,40.669625,0
32,-74.05078,40.743783,0
33,-73.988945,40.758118,0
34,-73.985452,40.757385,0
35,-73.943154,40.711849,0
36,-74.06469,40.731762,0
37,-73.977799,40.756223,0
38,-73.98185,40.757629,0
39,-73.943489,40.701332,0
40,-73.940483,40.72208,0
41,-73.970751,40.756163,0
42,-73.983757,40.762244,0
43,-74.044594,40.756408,0
44,-73.95034,40.680573,0
45,-74.078182,40.711435,0
46,-73.983273,40.765877,0
47,-73.967323,40.760838,0
48,-74.005402,40.653751,0
49,-73.940102,40.680096,0
50,-73.959984,40.663731,0
51,-74.084831,40.722092,0
52,-73.957161,40.765888,0
53,-74.031746,40.77544,0
54,-73.919655,40.699417,0
55,-73.96169,40.654762,0
56,-73.926903,40.74366,0
57,-73.982472,40.777901,0
58,-73.921887,40.689106,0
59,-73.987686,40.644569,0
60,-73.930779,40.669163,0
61,-73.922554,40.677324,0
62,-74.102867,40.694359,0
63,-73.954515,40.777789,0
64,-73.9067,40.726299,0
65,-73.926186,40.760616,0
66,-73.930984,40.766312,0
67,-73.930542,40.656101,0
68,-74.027039,40.633682,0
69,-73.918343,40.759495,0
70,-73.968124,40.635811,0
71,-73.912406,40.669307,0
72,-73.908358,40.75348,0
73,-73.947028,40.784657,0
74,-74.042412,40.792986,0
75,-73.972343,40.794389,0
76,-73.923203,40.652718,0
77,-73.897746,40.677548,0
78,-73.946077,40.789984,0
79,-73.947781,40.632336,0
80,-73.967846,40.800014,0
81,-74.027731,40.622159,0
82,-73.9217,40.644669,0
83,-74.016922,40.806927,0
84,-73.912183,40.77512,0
85,-73.890678,40.676235,0
86,-73.880272,40.701706,0
87,-73.883179,40.738327,0
88,-74.11721,40.665562,0
89,-74.076324,40.629929,0
90,-73.883865,40.748062,0
91,-73.939789,40.798618,0
92,-73.92865,40.63208,0
93,-73.982658,40.612892,0
94,-73.879116,40.679871,0
95,-73.983818,40.813576,0
96,-73.889664,40.657864,0
97,-73.915535,40.633762,0
98,-73.90126,40.644558,0
99,-73.947756,40.808569,0
100,-73.953039,40.81078,0
101,-74.001562,40.818687,0
102,-73.880943,40.764374,0
103,-73.99826,40.604786,0
104,-73.870372,40.751065,0
105,-73.94178,40.812233,0
106,-73.925667,40.80632,0
107,-73.92897,40.615036,0
108,-73.989006,40.599335,0
109,-73.861717,40.679531,0
110,-73.863008,40.749525,0
111,-73.854439,40.711269,0
112,-73.94136,40.817932,0
113,-74.158821,40.72956,0
114,-73.853741,40.693196,0
115,-74.115868,40.629318,0
116,-73.860352,40.670147,0
117,-73.889877,40.633153,0
118,-73.961494,40.598076,0
119,-73.95063,40.826694,0
120,-74.164231,40.734896,0
121,-73.8451,40.719994,0
122,-73.922245,40.81743,0
123,-73.927055,40.819809,0
124,-73.917053,40.816261,0
125,-73.941605,40.597485,0
126,-74.173218,40.726685,0
127,-73.92535,40.827963,0
128,-73.944335,40.835319,0
129,-74.161499,40.771854,0
130,-73.901987,40.819665,0
131,-74.182365,40.725586,0
132,-73.908607,40.825195,0
133,-73.892563,40.816971,0
134,-73.975105,40.579582,0
135,-73.981818,40.577218,0
136,-73.839958,40.657803,0
137,-73.890866,40.820564,0
138,-73.919899,40.835136,0
139,-73.938972,40.842594,0
140,-74.149345,40.625507,0
141,-74.146324,40.803307,0
142,-74.187977,40.734898,0
143,-73.823948,40.686474,0
144,-73.830133,40.759056,0
145,-73.834373,40.770061,0
146,-74.1903,40.745361,0
147,-73.915492,40.839544,0
148,-74.044548,40.854877,0
149,-73.814293,40.702316,0
150,-74.191902,40.675579,0
151,-73.966698,40.85582,0
152,-73.936035,40.850094,0
153,-73.812401,40.727467,0
154,-74.202286,40.690105,0
155,-73.890648,40.835464,0
156,-73.878052,40.82851,0
157,-74.182995,40.782503,0
158,-73.916202,40.850258,0
159,-74.102158,40.577595,0
160,-74.066742,40.861137,0
161,-73.800079,40.703579,0
162,-73.861679,40.826378,0
163,-73.893456,40.846584,0
164,-74.162811,40.607758,0
165,-73.907288,40.854321,0
166,-73.876884,40.840401,0
167,-74.218002,40.728542,0
168,-73.793312,40.686165,0
169,-73.927202,40.86508,0
170,-73.858545,40.833219,0
171,-74.21701,40.755833,0
172,-74.214722,40.663181,0
173,-74.21151,40.654102,0
174,-73.921301,40.867396,0
175,-74.225128,40.738201,0
176,-73.802307,40.780651,0
177,-73.902859,40.86255,0
178,-74.191978,40.808098,0
179,-73.781204,40.713558,0
180,-74.052797,40.879608,0
181,-74.100798,40.867629,0
182,-73.881203,40.856411,0
183,-73.892471,40.861685,0
184,-73.897368,40.866985,0
185,-74.236176,40.69899,0
186,-74.224899,40.770435,0
187,-73.77726,40.680161,0
188,-74.127991,40.863605,0
189,-73.867477,40.855529,0
190,-73.843681,40.840374,0
191,-73.779793,40.757866,0
192,-73.790371,40.643004,0
193,-74.039131,40.888802,0
194,-73.846611,40.844517,0
195,-73.823677,40.827599,0
196,-74.121183,40.873789,0
197,-73.844551,40.849461,0
198,-73.781969,40.643259,0
199,-73.773834,40.660133,0
200,-73.976669,40.895351,0
201,-73.867035,40.864037,0
202,-73.761147,40.720814,0
203,-73.878677,40.872894,0
204,-73.901711,40.884045,0
205,-73.816948,40.588921,0
206,-74.094254,40.890358,0
207,-73.871674,40.879181,0
